layer,method,proj_dim,run_dir,seed,task,test_acc,test_acc_stderr,test_f1,test_f1_stderr,test_mae,test_mcc,test_mcc_stderr,test_mse,test_spearman,test_spearman_stderr
Stacked,hybrid,48,PoolingFFN_layerStacked_hybrid_dc48_loc_seed657_31-05_09-19-34,657,loc,81.21,0.82,0.8025,0.0086,,0.7735,0.0097,,,
Stacked,hybrid,48,PoolingFFN_layerStacked_hybrid_dc48_loc_seed921_02-06_11-28-54,921,loc,81.27,0.66,0.8057,0.0071,,0.7742,0.0079,,,
Stacked,mean,,PoolingFFN_layerStacked_mean_dc48_loc_seed657_30-05_02-40-25,657,loc,79.89,0.78,0.7913,0.0082,,0.7574,0.0093,,,
Stacked,mean,,PoolingFFN_layerStacked_mean_dc48_loc_seed921_31-05_22-14-41,921,loc,80.21,0.69,0.7952,0.0073,,0.7615,0.0081,,,
06,cov,48,PoolingFFN_layer06_cov_dc48_meltome_seed657_24-05_18-13-10,657,meltome,,,,,52.0063324,,,2728.5441895,0.6793,0.016
06,cov,48,PoolingFFN_layer06_cov_dc48_meltome_seed921_25-05_00-11-40,921,meltome,,,,,52.1875229,,,2744.692627,0.6807,0.0151
06,cov,48,PoolingFFN_layer06_cov_dc48_meltome_seed969_25-05_05-45-56,969,meltome,,,,,51.7970467,,,2709.9421387,0.667,0.0166
06,hybrid,48,PoolingFFN_layer06_hybrid_dc48_meltome_seed657_24-05_18-31-24,657,meltome,,,,,52.0721931,,,2730.2919922,0.6859,0.0157
06,hybrid,48,PoolingFFN_layer06_hybrid_dc48_meltome_seed921_25-05_00-31-56,921,meltome,,,,,51.7627487,,,2703.0588379,0.6735,0.0158
06,hybrid,48,PoolingFFN_layer06_hybrid_dc48_meltome_seed969_25-05_06-04-55,969,meltome,,,,,51.8275185,,,2706.0737305,0.6869,0.0144
06,mean,,PoolingFFN_layer06_mean_dc48_meltome_seed657_24-05_17-48-07,657,meltome,,,,,51.4793816,,,2672.9042969,0.6737,0.0163
06,mean,,PoolingFFN_layer06_mean_dc48_meltome_seed921_24-05_23-13-17,921,meltome,,,,,45.7210274,,,2109.1503906,0.6718,0.0161
06,mean,,PoolingFFN_layer06_mean_dc48_meltome_seed969_25-05_05-05-29,969,meltome,,,,,49.0394974,,,2422.2612305,0.6845,0.0151
12,cov,48,PoolingFFN_layer12_cov_dc48_meltome_seed657_24-05_19-47-51,657,meltome,,,,,51.3304977,,,2652.904541,0.7052,0.0149
12,cov,48,PoolingFFN_layer12_cov_dc48_meltome_seed921_25-05_01-43-40,921,meltome,,,,,50.7676163,,,2595.9084473,0.7011,0.0144
12,cov,48,PoolingFFN_layer12_cov_dc48_meltome_seed969_25-05_07-07-16,969,meltome,,,,,51.1911049,,,2638.2497559,0.7013,0.0149
12,hybrid,48,PoolingFFN_layer12_hybrid_dc48_meltome_seed657_24-05_20-08-08,657,meltome,,,,,51.1274872,,,2630.7321777,0.6997,0.016
12,hybrid,48,PoolingFFN_layer12_hybrid_dc48_meltome_seed921_25-05_02-04-58,921,meltome,,,,,50.950592,,,2613.4038086,0.693,0.0146
12,hybrid,48,PoolingFFN_layer12_hybrid_dc48_meltome_seed969_25-05_07-28-50,969,meltome,,,,,51.1656532,,,2636.7495117,0.6775,0.0165
12,mean,,PoolingFFN_layer12_mean_dc48_meltome_seed657_24-05_18-57-09,657,meltome,,,,,46.6437035,,,2194.1958008,0.6806,0.0158
12,mean,,PoolingFFN_layer12_mean_dc48_meltome_seed921_25-05_00-54-02,921,meltome,,,,,47.6954422,,,2292.3701172,0.6914,0.015
12,mean,,PoolingFFN_layer12_mean_dc48_meltome_seed969_25-05_06-28-23,969,meltome,,,,,49.578186,,,2475.1953125,0.6951,0.0146
18,cov,48,PoolingFFN_layer18_cov_dc48_meltome_seed657_24-05_21-09-35,657,meltome,,,,,51.3987923,,,2660.5234375,0.7026,0.0158
18,cov,48,PoolingFFN_layer18_cov_dc48_meltome_seed921_25-05_03-02-38,921,meltome,,,,,51.4685783,,,2666.4206543,0.7013,0.0143
