layer,method,proj_dim,run_dir,seed,task,test_acc,test_acc_stderr,test_f1,test_f1_stderr,test_mae,test_mcc,test_mcc_stderr,test_mse,test_spearman,test_spearman_stderr
,hybrid,8,PoolingFFN_meltome_hybrid_dc8_seed969_22-05_02-59-15,969,meltome,,,,,51.0401268,,,2621.5053711,0.7097,0.015
,mean,,PoolingFFN_meltome_mean_seed657_21-05_15-47-54,657,meltome,,,,,51.0660477,,,2624.3278809,0.7073,0.0156
,mean,,PoolingFFN_meltome_mean_seed921_21-05_20-18-39,921,meltome,,,,,50.8300629,,,2599.8327637,0.7097,0.0156
,mean,,PoolingFFN_meltome_mean_seed969_22-05_00-46-55,969,meltome,,,,,51.0985985,,,2627.270752,0.7082,0.0149
,cov_unsup,16,PoolingFFN_loc_cov_unsup_dc16_pretrained_seed657_17-06_22-24-25,657,loc,74.26,0.87,0.7333,0.0089,,0.6886,0.0105,,,
,cov_unsup,16,PoolingFFN_loc_cov_unsup_dc16_pretrained_seed921_18-06_07-29-35,921,loc,72.63,0.88,0.7155,0.0093,,0.6682,0.0105,,,
,cov_unsup,16,PoolingFFN_loc_cov_unsup_dc16_pretrained_seed969_18-06_16-03-20,969,loc,74.92,0.87,0.7378,0.0092,,0.6961,0.0105,,,
,cov_unsup,24,PoolingFFN_loc_cov_unsup_dc24_pretrained_seed657_18-06_00-41-12,657,loc,78.24,0.82,0.7755,0.0085,,0.7367,0.0099,,,
,cov_unsup,24,PoolingFFN_loc_cov_unsup_dc24_pretrained_seed921_18-06_09-41-10,921,loc,76.7,0.82,0.7613,0.0088,,0.718,0.0098,,,
,cov_unsup,24,PoolingFFN_loc_cov_unsup_dc24_pretrained_seed969_18-06_17-39-19,969,loc,77.16,0.81,0.7637,0.0086,,0.7238,0.0097,,,
,cov_unsup,32,PoolingFFN_loc_cov_unsup_dc32_pretrained_seed657_18-06_02-18-45,657,loc,80.7,0.74,0.7982,0.0077,,0.7672,0.0088,,,
,cov_unsup,32,PoolingFFN_loc_cov_unsup_dc32_pretrained_seed921_18-06_11-10-46,921,loc,79.85,0.79,0.7937,0.0082,,0.7573,0.0094,,,
,cov_unsup,32,PoolingFFN_loc_cov_unsup_dc32_pretrained_seed969_18-06_19-04-31,969,loc,80.62,0.72,0.8016,0.0074,,0.7667,0.0085,,,
,cov_unsup,48,PoolingFFN_loc_cov_unsup_dc48_pretrained_seed657_18-06_03-16-17,657,loc,81.14,0.73,0.8063,0.0076,,0.7727,0.0088,,,
,cov_unsup,48,PoolingFFN_loc_cov_unsup_dc48_pretrained_seed921_18-06_12-38-02,921,loc,82.79,0.74,0.8217,0.008,,0.7926,0.0088,,,
,cov_unsup,48,PoolingFFN_loc_cov_unsup_dc48_pretrained_seed969_18-06_20-20-06,969,loc,80.01,0.77,0.7978,0.008,,0.7594,0.0093,,,
,cov_unsup,8,PoolingFFN_loc_cov_unsup_dc8_pretrained_seed657_17-06_20-24-44,657,loc,63.14,0.91,0.6,0.0099,,0.5493,0.011,,,
,cov_unsup,8,PoolingFFN_loc_cov_unsup_dc8_pretrained_seed921_18-06_04-24-28,921,loc,62.83,0.94,0.5969,0.0103,,0.5447,0.0111,,,
,cov_unsup,8,PoolingFFN_loc_cov_unsup_dc8_pretrained_seed969_18-06_13-28-29,969,loc,63.0,0.94,0.598,0.0104,,0.548,0.0112,,,
,cov_unsup,16,PoolingFFN_meltome_cov_unsup_dc16_pretrained_seed657_18-06_23-13-39,657,meltome,,,,,47.7147713,,,2296.9157715,0.6292,0.018
,cov_unsup,16,PoolingFFN_meltome_cov_unsup_dc16_pretrained_seed921_19-06_01-50-32,921,meltome,,,,,47.6507492,,,2290.8317871,0.6316,0.0187
,cov_unsup,16,PoolingFFN_meltome_cov_unsup_dc16_pretrained_seed969_19-06_04-11-51,969,meltome,,,,,50.4875107,,,2569.0322266,0.6236,0.018
,cov_unsup,24,PoolingFFN_meltome_cov_unsup_dc24_pretrained_seed657_18-06_23-43-35,657,meltome,,,,,51.0145569,,,2621.609375,0.6472,0.0167
,cov_unsup,24,PoolingFFN_meltome_cov_unsup_dc24_pretrained_seed921_19-06_02-20-18,921,meltome,,,,,50.6652756,,,2585.4279785,0.6598,0.018
,cov_unsup,24,PoolingFFN_meltome_cov_unsup_dc24_pretrained_seed969_19-06_04-33-51,969,meltome,,,,,50.5795326,,,2577.5898438,0.6501,0.0173
,cov_unsup,32,PoolingFFN_meltome_cov_unsup_dc32_pretrained_seed657_19-06_00-02-43,657,meltome,,,,,48.9085159,,,2410.5651855,0.6741,0.0171
,cov_unsup,32,PoolingFFN_meltome_cov_unsup_dc32_pretrained_seed921_19-06_02-43-02,921,meltome,,,,,50.803196,,,2598.2890625,0.6825,0.016
,cov_unsup,32,PoolingFFN_meltome_cov_unsup_dc32_pretrained_seed969_19-06_04-55-48,969,meltome,,,,,47.7556915,,,2298.5837402,0.669,0.0167
,cov_unsup,48,PoolingFFN_meltome_cov_unsup_dc48_pretrained_seed657_19-06_00-30-40,657,meltome,,,,,50.9246559,,,2610.324707,0.69,0.0167
,cov_unsup,48,PoolingFFN_meltome_cov_unsup_dc48_pretrained_seed921_19-06_03-04-33,921,meltome,,,,,50.7872314,,,2596.354248,0.6916,0.0155
,cov_unsup,48,PoolingFFN_meltome_cov_unsup_dc48_pretrained_seed969_19-06_05-25-56,969,meltome,,,,,50.3826065,,,2555.7180176,0.6876,0.0159
,cov_unsup,8,PoolingFFN_meltome_cov_unsup_dc8_pretrained_seed657_18-06_21-53-30,657,meltome,,,,,10.5238991,,,132.836319,0.5506,0.0199
,cov_unsup,8,PoolingFFN_meltome_cov_unsup_dc8_pretrained_seed921_19-06_00-51-10,921,meltome,,,,,27.64715,,,788.4118042,0.5509,0.0202
,cov_unsup,8,PoolingFFN_meltome_cov_unsup_dc8_pretrained_seed969_19-06_03-25-15,969,meltome,,,,,37.737011,,,1446.6375732,0.5641,0.0204
